FB,TB,IAT,TD,Arrival Time,PC,Packet Size,Acknowledgement Packet Size,RTT,Average Queue Size,System Occupancy,Arrival Rate,Service Rate,Packet Dropped,Time,Sample,Is Attack
1,2,0.38677836917540936,0.037398859198157115,0.3877625496806242,38,467.485739976961,6.517561661245466,0.44780928637083534,0.6666666666666666,0.07692307692307693,1208.6656784184063,15712.653819439282,3,16:29:28:535281,1,0
2,1,0.27793309955809664,0.16325469670982426,0.28101337685450817,53,2040.6837088728018,3.433817127931944,0.5260327746043617,0.9333333333333333,0.6363636363636364,7342.355811946881,11537.987704487956,4,16:29:28:554987,1,0
2,3,0.912967342047158,0.008072253889623876,0.9134718579152598,16,100.90317362029504,15.646703018864658,0.92620610687045,0.0,0.0,110.52221582651423,110.52221582651423,1,16:29:28:555925,1,0
1,3,0.022424132637365552,4.467558342691742,0.05519168888230329,271,688.8617875676547,5.408104876703045,13.713263472448581,179.7391304347826,187.9090909090909,30719.662548722066,163.4815133216946,442,16:29:28:557665,1,0
3,1,0.5020861022753683,0.001910005485390879,0.5021519645334854,29,23.87506856738943,5.353523641217291,0.505478067639569,0.0,0.0,47.551741542320535,47.551741542320535,2,16:29:28:559281,1,0
3,2,0.15515799920571346,0.04670227247432901,0.15564448121065413,96,583.7784059291089,32.73348049716191,0.22700722914203456,0.8,0.2857142857142857,3762.4770164451315,13168.669557557962,7,16:29:28:563575,1,0
2,1,0.1780698136984419,7.59644987827623,0.34655938911230527,43,433.19274812943155,9.776465249381822,23.488297196966727,221.76190476190476,232.85,2432.7129856104407,10.447554157657036,15828,16:29:28:713575,1,1
2,3,0.008882296193443133,7.588718488736185,1.1685817284593236,12,1460.6640012966102,78.90827930749762,23.93487622115616,63.69230769230769,69.0,164446.6666597839,2383.285024054839,16038,16:29:28:866359,1,1
1,2,0.12746630307126047,0.047376645701207816,0.1278712316669974,117,592.2080712650949,31.839748217928342,0.20170410567565183,0.9,0.42857142857142855,4645.997075274231,10840.659842306539,8,16:29:29:286620,1,0
1,3,0.20102979632928228,0.03357039221908888,0.2014834502781887,74,419.629902738615,10.010476169080675,0.25405998843833866,0.6666666666666666,0.14285714285714285,2087.4015215698205,14611.810650988744,5,16:29:29:296233,1,0
2,1,0.013648245538117179,7.434586579120217,0.07352220718810511,204,91.90275445642223,16.402236882057668,22.812220323043952,938.7647058823529,997.4375,6733.668016138324,6.750967370024011,15635,16:29:29:309649,1,1
2,3,0.17028234023262392,7.379470321488514,0.051989543149554174,288,64.97986526590897,38.19513363690601,22.646112736872574,1338.3333333333333,1460.0,381.6007295714841,0.2613703627201946,15729,16:29:29:477685,1,1
3,1,0.07859653619311968,0.034159272495293276,0.07877632183783152,190,426.9909061911695,5.937433474430829,0.13092641347609535,0.8333333333333334,0.38461538461538464,5432.693689477732,14125.003592642102,13,16:29:29:554877,1,0
3,2,0.21171854429440087,0.033330797376384426,0.212194698542635,70,416.6349672048035,19.709442605016623,0.26474338575407796,0.75,0.23076923076923078,1967.8718677824475,8527.444760390605,5,16:29:29:557869,1,0
2,1,0.053462609697642986,7.37859133503638,0.06696936249577991,223,83.71099608169673,8.429738839156698,22.670281564626308,1138.0,1194.9,1565.7858184462573,1.310390675743792,15694,16:29:30:088545,1,1
3,1,0.3097681583964479,0.23797246618945786,0.3148314023579258,47,2974.655827368225,24.705319501558723,0.7391155461726924,0.9444444444444444,0.8095238095238095,9602.845698431009,11862.338803944187,4,16:29:30:266125,1,0
3,2,0.09745657680525179,0.02755482175771686,0.09763667367948523,153,344.43527197146506,16.31317063260189,0.13962143314136422,0.75,0.16666666666666666,3534.243488356385,21205.460930138313,11,16:29:30:278530,1,0
1,2,0.039598373319941524,0.02535723886857246,0.03966545596245121,378,316.9654858571539,6.012794363272674,0.07794182603984094,0.8888888888888888,0.47058823529411764,8004.50774318883,17009.578954276265,26,16:29:30:301833,1,0
1,3,0.1722313114594913,0.023245071376766787,0.17250160298712797,86,290.5633922095814,48.34382540816254,0.21353338347174516,0.75,0.14285714285714285,1687.0532410590263,11809.372687413184,6,16:29:30:305015,1,0
2,3,0.005699573653955242,6.994208320498245,0.014806484737177677,1013,18.507919816754825,16.838874756810302,21.454675002834612,4510.166666666667,4920.181818181818,3247.246362701389,0.6599850336224692,14760,16:29:30:333090,1,1
2,1,0.02345935625657394,7.609078912077318,1.523033786755857,9,1903.5053974050793,0.9036102457042827,24.34742715043812,78.66666666666667,83.29411764705883,81140.56398592208,974.1451890965221,16015,16:29:30:657855,1,1
2,3,0.060559133311685796,7.496114488498632,1.0000346024998326,14,1249.961412751772,2.396614609165386,23.481256458890158,77.47826086956522,81.0,20640.34513701624,254.8190757656326,16105,16:29:30:811745,1,1
3,1,0.12871568543169162,0.015330050066085567,0.12884784103570954,116,191.62562582607256,1.1189989297399594,0.15239569376375076,0.6666666666666666,0.11764705882352941,1488.75115867496,12654.38484873716,8,16:29:30:825799,1,0
3,2,0.23130377259877039,0.07897890414284514,0.2325378179760027,64,987.2363017855607,3.9497988852453187,0.35116416614568047,0.8571428571428571,0.42857142857142855,4268.137482988935,9958.987460307515,5,16:29:30:828506,1,0
1,2,0.0038680590726759352,7.249851231138004,0.10740993215100776,139,1342.2763048486854,0.048619797117733614,22.267151747753225,610.9333333333333,654.5714285714286,347015.4616641091,530.141473515662,3997,16:29:31:139910,1,0
1,3,0.05059727847038502,6.067161545622776,0.25542097643047573,58,3181.8576195037053,33.09486148195181,18.712235331463287,91.11111111111111,96.47058823529412,62885.943981474644,651.8664924908957,258,16:29:31:152073,1,0
2,1,0.09395069125802326,7.805948446930637,0.9191472248005257,16,1148.806676608868,37.0233850415188,24.33517770043516,83.85714285714286,88.05,12227.76183151033,138.8729339183456,15959,16:29:31:197033,1,1
2,3,0.09288613546531964,7.563986530823235,0.4593926653653516,32,574.2350962194299,13.650381641847794,23.381131990334943,159.0909090909091,175.0,6182.140029217049,35.32651445266885,16065,16:29:31:344457,1,1
3,1,0.00920998099060181,5.796642450576092,0.0401009131126798,374,500.95359368822045,61.81113724913363,17.79121396190385,524.25,599.1428571428571,54392.46771512462,90.78380400712264,1363,16:29:31:571007,1,0
3,2,0.07420466474030209,5.9553017221367,0.3315535293507996,45,4123.806710012687,14.605553195919725,18.37895390308131,87.33333333333333,92.47058823529412,55573.41609782872,600.9847796838984,170,16:29:31:575394,1,0
1,2,0.3269104690943527,0.0019595430123291384,0.3269540144946265,45,24.49428765411033,0.6371014947207867,0.3299188130729091,0.0,0.0,74.9265929658582,74.9265929658582,3,16:29:31:805817,1,0
2,1,0.12851697703269924,7.977024863524755,2.2806519094860302,6,2850.5145058479293,41.359985708156415,26.2139710618848,33.0,36.0,22180.06190048073,616.1128305689092,16189,16:29:32:048501,1,1
1,3,0.0015387944412216471,7.134302752215874,0.030774593354608307,487,384.64292015536734,9.325235255881505,21.885249962714717,2169.3333333333335,2366.5454545454545,249963.809233675,105.62392061963834,9910,16:29:32:042420,1,0
2,3,0.001965640910876447,7.9571761738696605,1.3271820381026436,11,1658.9112675556123,38.6463111307148,25.196943123172396,58.53333333333333,62.714285714285715,843954.3857560082,13457.131435745005,15965,16:29:32:191608,1,1
3,1,0.2732253227274596,0.04620812588234632,0.27408102876231766,54,577.6015735293267,23.662535093037423,0.34750508492348,0.0,0.0,2114.0118630419934,2114.0118630419934,4,16:29:32:199753,1,0
3,2,0.06410294332400292,1.2803862522534502,0.07684273053943945,195,956.424968709407,5.8106284522285945,3.9283648690123094,21.61904761904762,22.7,14920.14124648283,657.2749447789793,54,16:29:32:208433,1,0
1,2,0.06272847075237996,0.00031146580530846973,0.06272977395658597,239,3.8933225663508844,8.577287387773884,0.0635340203344836,0.0,0.0,62.0662758019359,62.0662758019359,16,16:29:32:619691,1,0
2,1,0.08473250572726514,7.714594034686149,0.4685138593763544,32,585.6244484759538,0.8541098630941588,23.845610676161062,210.8,221.89473684210526,6911.449666801394,31.147424968981618,16125,16:29:32:626960,1,1
1,3,0.007133041622998986,6.899380257196463,0.0882605103295686,169,1102.7287872835852,8.224357024189723,21.22523717777427,649.3636363636364,714.3,154594.46973196807,216.427929066174,2074,16:29:32:685772,1,0
2,3,0.4795785932134581,7.627667681475037,1.3878687256957274,10,1734.7866783013155,4.625226928443863,24.267438746439485,53.53846153846154,58.0,3617.314665104684,62.36749422594283,16155,16:29:32:803787,1,1
3,1,0.0669786874650561,0.31790601857801354,0.06961361745797214,215,866.2761084883143,18.805139916935413,0.9578253066350843,4.428571428571429,4.769230769230769,12933.608305481726,2711.885612439717,23,16:29:32:822071,1,0
3,2,0.25511853688522756,0.08203175723178946,0.25653287752715476,58,1025.3969653973718,7.792357947903094,0.3857070911638945,0.9,0.5,4019.296198216581,8038.592396433162,4,16:29:32:825234,1,0
2,1,0.04398816806025515,7.610723482904143,0.3117789251606261,48,389.64368453981507,1.15749932811575,23.45721400574218,264.69565217391306,276.72727272727275,8857.920248146724,32.009567256771994,15848,16:29:33:093761,1,1
2,3,0.04499325630723228,7.852512647728362,1.5712352502098852,9,1963.918272171074,17.76097467059128,25.125509272596936,61.904761904761905,65.0,43649.1695279986,671.5256850461324,15829,16:29:33:236652,1,1
3,1,0.2967152366659721,0.035786285904646054,0.29743096238406536,50,447.3285738080795,35.943045754711825,0.35254811307122286,0.0,0.0,1507.6023019055833,1507.6023019055833,3,16:29:33:407369,1,0
3,2,0.4292107989500718,0.01549747291354829,0.42966660697694087,34,193.7184114193559,43.91266590543278,0.4558677689475923,0.0,0.0,451.33629417812085,451.33629417812085,3,16:29:33:408811,1,0
1,2,0.3956856512561541,0.17729591309025328,0.4004774326910255,37,2216.1989136281672,14.09327894940791,0.6669850334843819,0.9,0.6,5600.907959620379,9334.8465993673,3,16:29:33:469562,1,0
1,3,0.015346047547802439,6.927979076971084,0.19279234762104838,77,2407.4131037780685,8.283156818292479,21.3158775324954,298.51851851851853,310.0,156875.12346609478,506.0487853744993,965,16:29:33:487382,1,0
2,1,0.2575821088466978,7.513461710957301,0.27916045319271776,53,348.88532148158083,0.39742089093906796,23.240831114311977,270.3529411764706,287.25,1354.4625558183582,4.715274345755816,15820,16:29:33:807642,1,1
2,3,0.1262433992310608,7.6522925574513945,0.3834266796729725,39,479.2416605215185,30.81262991155069,23.528301795903282,199.45454545454547,208.95238095238096,3796.172025155723,18.167641870617633,16043,16:29:33:965241,1,1
3,1,0.036058665326103016,0.004767035520713254,0.036070152158682776,415,59.58794400892071,13.916502801980396,0.04415841211391462,0.75,0.2,1652.5277203142832,8262.638601571416,28,16:29:33:977728,1,0
3,2,0.016227878416877665,6.251622488867528,0.0967899589017295,154,1208.5572883481723,49.85147860790911,19.2377130703423,338.70588235294116,359.875,74474.13995234415,206.94446669633663,831,16:29:33:998529,1,0
2,1,0.14513537715040944,7.808292618689092,0.976880491268156,15,1221.0723318541466,13.950338276402894,24.398478512273837,76.53333333333333,82.0,8413.33350854011,102.60162815292817,15713,16:29:34:227744,1,1
1,2,0.06958698946083854,0.017795319480026106,0.06966975838865237,215,222.4414935003294,8.103597530866331,0.0966868815099264,0.8,0.26666666666666666,3196.596019224438,11987.235072091642,14,16:29:34:359972,1,0
1,3,0.4079836522545416,0.08993510793908219,0.41048184969729395,36,1124.1888492385258,10.298305540753766,0.5457964438275476,0.75,0.15,2755.475232956498,18369.834886376655,3,16:29:34:367725,1,0
2,3,0.012836684814924403,7.608888093051637,0.8017501208659887,18,1002.0640312287074,9.33665497474684,23.625955231451123,126.27777777777777,133.7058823529412,78062.52515163968,583.8376276189505,16149,16:29:34:389444,1,1
3,1,0.15534269588383792,0.04628319772640807,0.15582481252682162,96,578.5399715800987,10.620652189510555,0.22567443520401423,0.9166666666666666,0.5789473684210527,3724.2817777072637,6432.850343312546,6,16:29:34:598638,1,0
3,2,0.014997217478020188,1.9821382005918282,0.02034857185838832,737,254.10278565390854,6.997947333460676,6.079710085138604,143.25,152.8,16943.328722566017,110.88565917909696,329,16:29:34:629534,1,0
2,1,0.01158906998690082,7.023632145230109,0.015785531918926017,950,19.73138876545994,9.892925866439658,21.56061627103844,4068.2,4358.785714285715,1702.586039066329,0.3906101723436836,15006,16:29:34:923386,1,1
2,3,0.11622931624420865,7.304502120821954,0.036178089384963856,414,45.21984108267138,29.125859408188976,22.44054221400918,1890.375,2016.4,389.0571031809244,0.19294639118276352,15652,16:29:35:100761,1,1
1,2,0.5071829146877339,0.11455295481129991,0.5111330165777787,29,1431.9119351412464,16.819627113955598,0.7025031313196506,0.75,0.16666666666666666,2823.2653223795137,16939.591934277083,2,16:29:35:270075,1,0
1,3,0.3396383258463632,0.12609642770206572,0.3425708009092023,43,1576.2053462758174,9.683235117910915,0.5727080547331062,0.875,0.5,4640.834753698617,9281.669507397233,4,16:29:35:271829,1,0
2,1,0.08586470899443263,7.704820245487882,0.5514485678103195,27,689.2626761911386,19.870497950731874,23.93757546588394,139.54545454545453,146.1904761904762,8027.310454587688,54.909941220306656,16060,16:29:35:473100,1,1
3,1,0.07582087674457606,0.002528300731860728,0.07583371075844322,197,31.603759148263062,12.916072897534352,0.0801428047721354,0.0,0.0,416.8213360909715,416.8213360909715,14,16:29:35:519882,1,0
3,2,0.28441704777151267,0.1274305679512634,0.28686763561672907,52,1592.8820993907952,17.10196242802002,0.4786975660407446,0.9090909090909091,0.5555555555555556,5600.515552325268,10080.927994185482,4,16:29:35:521979,1,0
2,3,0.19515770187222817,8.328089444632166,2.0827575196858303,7,2603.2559750404193,28.402476703047935,10.410846964317997,41.05882352941177,43.625,13339.24282806322,305.7706092392715,16156,16:29:35:626612,1,1
1,2,0.028136750341023614,5.63556573990675,0.11020391543111588,136,1374.962844512013,8.755015089962932,17.31620549369011,190.3125,203.0,48867.15160234072,240.72488474059466,432,16:29:35:884252,1,0
1,3,0.24395359513652518,0.03099118839331891,0.24446164740526777,61,387.38985491648396,5.125691618124048,0.29115345765997114,0.5,0.058823529411764705,1587.9653452111936,26995.41086859029,4,16:29:35:886626,1,0
2,1,0.14536070219644234,7.53033148781348,0.27003638073871866,55,337.5349338485381,59.20817633271972,23.264932201159052,276.6875,295.1333333333333,2322.050793290672,7.867802552374087,15976,16:29:36:157139,1,1
3,1,0.3224723891470266,0.07354785615266823,0.3240712555851283,46,919.3482019083499,32.971144002101376,0.43571188557421436,0.8,0.23529411764705882,2850.936181978627,12116.478773409164,3,16:29:36:228147,1,0
3,2,0.007086701819998787,6.8150461353495455,0.0762391978886334,196,952.5380155836856,28.30119150989609,20.928988938677435,834.2,878.1052631578947,134412.0353555173,153.07052695725417,2061,16:29:36:295809,1,0
2,3,0.2498746336944735,7.525317657408533,0.17184990051735138,87,214.79716903573404,32.498927390504285,23.164051634550884,445.40909090909093,466.6190476190476,859.6197455495649,1.8422302945750448,16101,16:29:36:345259,1,1
1,2,0.16369724193957969,0.3838745097036649,0.1705828482459584,87,2108.7658844049956,1.8001196587826545,1.1477054807676301,2.066666666666667,2.2142857142857144,12882.110043022818,5817.727116203853,10,16:29:36:728908,1,0
1,3,0.3259642743460602,0.1888718980596739,0.33016142763627493,45,2360.8987257459257,23.791542620407725,0.7064092010869782,0.8888888888888888,0.6666666666666666,7242.814355905384,10864.221533858077,4,16:29:36:730779,1,0
2,1,0.1514134039301558,7.67281492594121,1.097396181643361,13,1371.6677811229315,42.01992383935811,24.113784069697214,69.52380952380952,73.0,9059.090843474178,124.09713484211203,16042,16:29:36:860115,1,1
3,1,0.8738546800161912,0.18178267763770026,0.8852160973685473,16,2272.2834704712504,1.370115627602777,1.2006611758191,0.8333333333333334,0.25,2600.299022749582,10401.196090998328,2,16:29:36:972916,1,0
3,2,0.010741960467788681,6.901879219752705,0.12473457199981246,120,1558.0631957822575,11.854936520174652,21.218291103971936,401.9230769230769,435.4166666666667,145044.58478080746,333.11674973582575,1369,16:29:37:012390,1,0
2,3,0.08863801919618775,7.711842175904665,1.2863527855819916,11,1607.8696788653683,0.381292166695647,24.42267097629226,58.8,63.0,18139.729355938965,287.9322119990312,16009,16:29:37:034370,1,1
2,1,0.1288314171708175,8.219324478342424,1.495627528905279,10,1869.393685846403,92.45282196351398,9.714952007247703,50.25,54.81818181818182,14510.386727856723,264.7002554003714,16170,16:29:37:323966,1,1
1,2,0.32317549950674423,0.05296097318063883,0.3243268250106713,46,662.0121647579832,16.999816411412276,0.404448277438086,0.0,0.0,2048.460250756626,2048.460250756626,3,16:29:37:501978,1,0
1,3,0.15948840231958528,0.06415448419687139,0.16017823548299248,93,801.9310524608945,24.014409815270216,0.28568309970684336,0.9166666666666666,0.55,5028.146503430217,9142.084551691303,7,16:29:37:505380,1,0
2,3,0.04328339104091191,7.202207915874257,0.02465060170838474,608,30.808627732281185,17.342052618061537,22.107471060435856,2820.48,2938.0,711.7886790145567,0.24226980225138076,15284,16:29:37:536562,1,1
2,1,0.544859646772846,7.349522449307481,0.04821128789171379,311,60.2638823247671,1.6375082406912307,22.555297835687536,1490.0,1560.952380952381,110.60441469964711,0.07085700758671719,15851,16:29:38:108272,1,1
1,2,0.06798667238264125,5.476048678215162,0.24643329197697034,60,3066.252259632408,0.29373805970422157,16.87256291682175,81.04347826086956,84.72727272727273,45100.784494569576,532.3053963951345,175,16:29:38:141669,1,0
